token_id,metadata_key,source_uri,resolved_url,filename,size_bytes,sha256,status,error
0,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/0,,superyeti_archive/metadata/0.json,508,,metadata-only,No public model URL found in metadata
1,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/1,,superyeti_archive/metadata/1.json,508,,metadata-only,No public model URL found in metadata
2,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/2,,superyeti_archive/metadata/2.json,508,,metadata-only,No public model URL found in metadata
3,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/3,,superyeti_archive/metadata/3.json,508,,metadata-only,No public model URL found in metadata
4,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/4,,superyeti_archive/metadata/4.json,508,,metadata-only,No public model URL found in metadata
5,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/5,,superyeti_archive/metadata/5.json,508,,metadata-only,No public model URL found in metadata
6,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/6,,superyeti_archive/metadata/6.json,508,,metadata-only,No public model URL found in metadata
7,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/7,,superyeti_archive/metadata/7.json,508,,metadata-only,No public model URL found in metadata
8,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/8,,superyeti_archive/metadata/8.json,508,,metadata-only,No public model URL found in metadata
9,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/9,,superyeti_archive/metadata/9.json,508,,metadata-only,No public model URL found in metadata
10,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/10,,superyeti_archive/metadata/10.json,508,,metadata-only,No public model URL found in metadata
11,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/11,,superyeti_archive/metadata/11.json,508,,metadata-only,No public model URL found in metadata
12,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/12,,superyeti_archive/metadata/12.json,508,,metadata-only,No public model URL found in metadata
13,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/13,,superyeti_archive/metadata/13.json,508,,metadata-only,No public model URL found in metadata
14,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/14,,superyeti_archive/metadata/14.json,508,,metadata-only,No public model URL found in metadata
15,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/15,,superyeti_archive/metadata/15.json,508,,metadata-only,No public model URL found in metadata
16,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/16,,superyeti_archive/metadata/16.json,508,,metadata-only,No public model URL found in metadata
17,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/17,,superyeti_archive/metadata/17.json,508,,metadata-only,No public model URL found in metadata
18,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/18,,superyeti_archive/metadata/18.json,508,,metadata-only,No public model URL found in metadata
19,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/19,,superyeti_archive/metadata/19.json,508,,metadata-only,No public model URL found in metadata
20,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/20,,superyeti_archive/metadata/20.json,508,,metadata-only,No public model URL found in metadata
21,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/21,,superyeti_archive/metadata/21.json,508,,metadata-only,No public model URL found in metadata
22,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/22,,superyeti_archive/metadata/22.json,508,,metadata-only,No public model URL found in metadata
23,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/23,,superyeti_archive/metadata/23.json,508,,metadata-only,No public model URL found in metadata
24,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/24,,superyeti_archive/metadata/24.json,508,,metadata-only,No public model URL found in metadata
25,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/25,,superyeti_archive/metadata/25.json,508,,metadata-only,No public model URL found in metadata
26,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/26,,superyeti_archive/metadata/26.json,508,,metadata-only,No public model URL found in metadata
27,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/27,,superyeti_archive/metadata/27.json,508,,metadata-only,No public model URL found in metadata
28,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/28,,superyeti_archive/metadata/28.json,508,,metadata-only,No public model URL found in metadata
29,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/29,,superyeti_archive/metadata/29.json,508,,metadata-only,No public model URL found in metadata
30,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/30,,superyeti_archive/metadata/30.json,508,,metadata-only,No public model URL found in metadata
31,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/31,,superyeti_archive/metadata/31.json,508,,metadata-only,No public model URL found in metadata
32,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/32,,superyeti_archive/metadata/32.json,508,,metadata-only,No public model URL found in metadata
33,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/33,,superyeti_archive/metadata/33.json,508,,metadata-only,No public model URL found in metadata
34,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/34,,superyeti_archive/metadata/34.json,508,,metadata-only,No public model URL found in metadata
35,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/35,,superyeti_archive/metadata/35.json,508,,metadata-only,No public model URL found in metadata
36,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/36,,superyeti_archive/metadata/36.json,508,,metadata-only,No public model URL found in metadata
37,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/37,,superyeti_archive/metadata/37.json,508,,metadata-only,No public model URL found in metadata
38,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/38,,superyeti_archive/metadata/38.json,508,,metadata-only,No public model URL found in metadata
39,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/39,,superyeti_archive/metadata/39.json,508,,metadata-only,No public model URL found in metadata
40,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/40,,superyeti_archive/metadata/40.json,508,,metadata-only,No public model URL found in metadata
41,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/41,,superyeti_archive/metadata/41.json,508,,metadata-only,No public model URL found in metadata
42,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/42,,superyeti_archive/metadata/42.json,508,,metadata-only,No public model URL found in metadata
43,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/43,,superyeti_archive/metadata/43.json,508,,metadata-only,No public model URL found in metadata
44,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/44,,superyeti_archive/metadata/44.json,508,,metadata-only,No public model URL found in metadata
45,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/45,,superyeti_archive/metadata/45.json,508,,metadata-only,No public model URL found in metadata
46,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/46,,superyeti_archive/metadata/46.json,508,,metadata-only,No public model URL found in metadata
47,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/47,,superyeti_archive/metadata/47.json,508,,metadata-only,No public model URL found in metadata
48,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/48,,superyeti_archive/metadata/48.json,508,,metadata-only,No public model URL found in metadata
49,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/49,,superyeti_archive/metadata/49.json,508,,metadata-only,No public model URL found in metadata
50,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/50,,superyeti_archive/metadata/50.json,508,,metadata-only,No public model URL found in metadata
51,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/51,,superyeti_archive/metadata/51.json,508,,metadata-only,No public model URL found in metadata
52,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/52,,superyeti_archive/metadata/52.json,508,,metadata-only,No public model URL found in metadata
53,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/53,,superyeti_archive/metadata/53.json,508,,metadata-only,No public model URL found in metadata
54,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/54,,superyeti_archive/metadata/54.json,508,,metadata-only,No public model URL found in metadata
55,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/55,,superyeti_archive/metadata/55.json,508,,metadata-only,No public model URL found in metadata
56,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/56,,superyeti_archive/metadata/56.json,508,,metadata-only,No public model URL found in metadata
57,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/57,,superyeti_archive/metadata/57.json,508,,metadata-only,No public model URL found in metadata
58,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/58,,superyeti_archive/metadata/58.json,508,,metadata-only,No public model URL found in metadata
59,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/59,,superyeti_archive/metadata/59.json,508,,metadata-only,No public model URL found in metadata
60,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/60,,superyeti_archive/metadata/60.json,508,,metadata-only,No public model URL found in metadata
61,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/61,,superyeti_archive/metadata/61.json,508,,metadata-only,No public model URL found in metadata
62,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/62,,superyeti_archive/metadata/62.json,508,,metadata-only,No public model URL found in metadata
63,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/63,,superyeti_archive/metadata/63.json,508,,metadata-only,No public model URL found in metadata
64,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/64,,superyeti_archive/metadata/64.json,508,,metadata-only,No public model URL found in metadata
65,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/65,,superyeti_archive/metadata/65.json,508,,metadata-only,No public model URL found in metadata
66,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/66,,superyeti_archive/metadata/66.json,508,,metadata-only,No public model URL found in metadata
67,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/67,,superyeti_archive/metadata/67.json,508,,metadata-only,No public model URL found in metadata
68,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/68,,superyeti_archive/metadata/68.json,508,,metadata-only,No public model URL found in metadata
69,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/69,,superyeti_archive/metadata/69.json,508,,metadata-only,No public model URL found in metadata
70,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/70,,superyeti_archive/metadata/70.json,508,,metadata-only,No public model URL found in metadata
71,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/71,,superyeti_archive/metadata/71.json,508,,metadata-only,No public model URL found in metadata
72,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/72,,superyeti_archive/metadata/72.json,508,,metadata-only,No public model URL found in metadata
73,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/73,,superyeti_archive/metadata/73.json,508,,metadata-only,No public model URL found in metadata
74,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/74,,superyeti_archive/metadata/74.json,508,,metadata-only,No public model URL found in metadata
75,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/75,,superyeti_archive/metadata/75.json,508,,metadata-only,No public model URL found in metadata
76,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/76,,superyeti_archive/metadata/76.json,508,,metadata-only,No public model URL found in metadata
77,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/77,,superyeti_archive/metadata/77.json,508,,metadata-only,No public model URL found in metadata
78,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/78,,superyeti_archive/metadata/78.json,508,,metadata-only,No public model URL found in metadata
79,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/79,,superyeti_archive/metadata/79.json,508,,metadata-only,No public model URL found in metadata
80,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/80,,superyeti_archive/metadata/80.json,508,,metadata-only,No public model URL found in metadata
81,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/81,,superyeti_archive/metadata/81.json,508,,metadata-only,No public model URL found in metadata
82,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/82,,superyeti_archive/metadata/82.json,508,,metadata-only,No public model URL found in metadata
83,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/83,,superyeti_archive/metadata/83.json,508,,metadata-only,No public model URL found in metadata
84,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/84,,superyeti_archive/metadata/84.json,508,,metadata-only,No public model URL found in metadata
85,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/85,,superyeti_archive/metadata/85.json,508,,metadata-only,No public model URL found in metadata
86,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/86,,superyeti_archive/metadata/86.json,508,,metadata-only,No public model URL found in metadata
87,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/87,,superyeti_archive/metadata/87.json,508,,metadata-only,No public model URL found in metadata
88,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/88,,superyeti_archive/metadata/88.json,508,,metadata-only,No public model URL found in metadata
89,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/89,,superyeti_archive/metadata/89.json,508,,metadata-only,No public model URL found in metadata
90,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/90,,superyeti_archive/metadata/90.json,508,,metadata-only,No public model URL found in metadata
91,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/91,,superyeti_archive/metadata/91.json,508,,metadata-only,No public model URL found in metadata
92,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/92,,superyeti_archive/metadata/92.json,508,,metadata-only,No public model URL found in metadata
93,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/93,,superyeti_archive/metadata/93.json,508,,metadata-only,No public model URL found in metadata
